15 15
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,37,36,36,38,30,30,30,30,30,30,30,30,30
30,30,30,30,30,44,31,26,1,26,2,30,30,30,30
30,30,30,31,1,23,14,17,11,7,12,30,30,30,30
30,30,30,25,5,3,16,21,4,11,13,32,30,30,30
30,30,30,20,4,13,32,31,14,11,7,12,30,30,30
30,30,30,30,25,7,13,14,8,11,11,15,30,30,30
30,30,30,31,14,11,7,11,40,11,7,12,30,30,30
30,30,30,10,7,11,11,11,7,3,16,42,30,30,30
30,30,30,41,21,4,7,3,21,42,30,30,30,30,30
30,30,30,30,30,20,16,42,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
