15 15
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,37,38,37,43,38,30,30,30,30
30,30,30,37,38,31,23,23,23,32,47,38,30,30,30
30,30,31,23,23,14,11,11,11,13,32,44,30,30,30
30,30,25,11,3,21,4,11,3,4,24,48,30,30,30
30,30,10,11,13,2,10,11,24,34,24,38,30,30,30
30,31,14,3,4,13,14,11,13,14,24,48,30,30,30
30,25,3,22,20,4,11,11,3,4,24,38,30,30,30
30,10,13,2,0,14,11,11,13,14,24,48,30,30,30
30,20,4,13,14,3,33,33,33,21,22,30,30,30,30
30,30,41,16,21,42,47,48,35,30,0,32,30,30,30
30,30,30,30,30,30,30,30,47,36,34,13,1,32,30
30,30,30,30,30,30,30,30,30,30,41,21,21,22,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
